id,version_active,file_bytes,cte_name,model,file_filter,odoo_model/id,description,code,version,sga_file_var_ids/id,sga_file_var_ids/adaia_type,sga_file_var_ids/name,sga_file_var_ids/odoo_name/id,sga_file_var_ids/fillchar,sga_file_var_ids/en,sga_file_var_ids/st,sga_file_var_ids/length_dec,sga_file_var_ids/length_int,sga_file_var_ids/length,sga_file_var_ids/odoo_model/id,sga_file_var_ids/required,sga_file_var_ids/sequence,sga_file_var_ids/default
,,,,,,,,,,__export__.sgavar_file_var_556_73903ca4,Alfanumerico,RECORDREF,sga_adaia_integration.field_stock_picking_sga_adaia_picking_name, ,22,7,0,16,16,sga_ulma_integration.model_stock_picking,True,2,
,,,,,,,,,,__export__.sgavar_file_var_557_8b6b0e20,Numérico,ALMREF,, ,24,23,0,2,2,sga_ulma_integration.model_stock_picking,True,3,1
,,,,,,,,,,__export__.sgavar_file_var_558_5c5846d0,Alfanumerico,TERREF,sga_adaia_integration.field_stock_picking_sga_adaia_partner_ref, ,40,25,0,16,16,sga_ulma_integration.model_stock_picking,True,4,
,,,,,,,,,,__export__.sgavar_file_var_559_69f4b43a,Alfanumerico,TERPROREF,, ,56,41,0,16,16,sga_ulma_integration.model_stock_picking,False,5,
,,,,,,,,,,__export__.sgavar_file_var_560_a053110a,Alfanumerico,RECORDTIP,, ,60,57,0,4,4,sga_ulma_integration.model_stock_picking,True,6,ENPR
,,,,,,,,,,__export__.sgavar_file_var_561_a1150b59,Fecha,FECORD,__export__.ir_model_fields_8590_7acc3e09, ,8,61,0,8,8,sga_ulma_integration.model_stock_picking,True,7,
,,,,,,,,,,__export__.sgavar_file_var_562_72176d43,Hora,FECREC,stock.field_stock_picking_date_done, ,76,69,0,8,8,sga_ulma_integration.model_stock_picking,False,8,
,,,,,,,,,,__export__.sgavar_file_var_563_0172f0cd,Alfanumerico,HORREC,, ,80,77,0,4,4,sga_ulma_integration.model_stock_picking,False,9,
,,,,,,,,,,__export__.sgavar_file_var_564_dcb9ff46,Alfanumerico,OBS,, ,120,81,0,40,40,sga_ulma_integration.model_stock_picking,False,10,
,,,,,,,,,,__export__.sgavar_file_var_565_637feb67,Alfanumerico,TERRESREF,, ,136,121,0,16,16,sga_ulma_integration.model_stock_picking,False,11,
,,,,,,,,,,__export__.sgavar_file_var_566_f6a164bb,Alfanumerico,RECORDSUBTIP,, ,140,137,0,4,4,sga_ulma_integration.model_stock_picking,False,12,
,,,,,,,,,,__export__.sgavar_file_var_567_24e7e249,Alfanumerico,PRVCAMCOM,, ,260,141,0,160,160,sga_ulma_integration.model_stock_picking,False,13,
,,,,,,,,,,__export__.sgavar_file_var_2_eee660a6,one2many,MOVE_LINES,sga_adaia_integration.field_stock_picking_adaia_move_ids, ,0,0,0,0,0,sga_ulma_integration.model_stock_picking,True,14,OSL
,,,,,,,,,,__export__.sgavar_file_var_570_0a45c89e,Alfanumerico,ACCION,, ,6,5,0,2,2,sga_ulma_integration.model_stock_picking,True,1,AG
,,,,,,,,,,__export__.sgavar_file_var_571_e75f5986,Numérico,RECCOD,sga_adaia_integration.field_stock_picking_sga_adaia_picking_name, ,15,7,0,9,9,sga_ulma_integration.model_stock_picking,True,2,
,,,,,,,,,,__export__.sgavar_file_var_572_325b52ce,Numérico,ALMREF,, ,17,16,0,2,2,sga_ulma_integration.model_stock_picking,True,3,1
,,,,,,,,,,__export__.sgavar_file_var_573_b547d03a,Alfanumerico,RECORDREF,sga_adaia_integration.field_stock_picking_sga_adaia_picking_name, ,33,18,0,16,16,sga_ulma_integration.model_stock_picking,True,4,
,,,,,,,,,,__export__.sgavar_file_var_574_f0662995,Related-Alfanumérico,TERREF,stock.field_stock_picking_partner_id, ,49,34,0,16,16,sga_ulma_integration.model_stock_picking,True,5,ref
,,,,,,,,,,__export__.sgavar_file_var_575_f571dfa3,Alfanumerico,TERPROREF,, ,65,50,0,16,16,sga_ulma_integration.model_stock_picking,False,6,
,,,,,,,,,,__export__.sgavar_file_var_576_72bcbecc,Alfanumerico,RECORDTIP,, ,69,66,0,4,4,sga_ulma_integration.model_stock_picking,True,7,ENPR
,,,,,,,,,,__export__.sgavar_file_var_577_233cafab,Alfanumerico,ALBARA,stock.field_stock_picking_name, ,86,70,0,17,17,sga_ulma_integration.model_stock_picking,True,8,
,,,,,,,,,,__export__.sgavar_file_var_578_837d77c5,Fecha,FECREC,stock.field_stock_picking_date_done, ,94,87,0,8,8,sga_ulma_integration.model_stock_picking,True,9,
,,,,,,,,,,__export__.sgavar_file_var_579_139565ed,Hora,HORREC,stock.field_stock_picking_date_done, ,98,95,0,5,5,sga_ulma_integration.model_stock_picking,True,10,
,,,,,,,,,,__export__.sgavar_file_var_580_d1545318,Alfanumerico,OBS,stock.field_stock_picking_note, ,139,99,0,40,40,sga_ulma_integration.model_stock_picking,False,11,
,,,,,,,,,,__export__.sgavar_file_var_569_0f7d8ca3,one2many,MOVE_LINES,sga_adaia_integration.field_stock_picking_adaia_move_ids,,0,0,0,0,0,sga_ulma_integration.model_stock_picking,True,12,OIN
,,,,,,,,,,__export__.sgavar_file_var_583_5ff88451,Alfanumerico,ACCION,, ,6,5,0,2,2,sga_ulma_integration.model_stock_picking,True,2,MO
,,,,,,,,,,__export__.sgavar_file_var_584_7b43f07a,Alfanumerico,EXPORDREF,sga_adaia_integration.field_stock_picking_sga_adaia_picking_name, ,21,7,0,15,15,sga_ulma_integration.model_stock_picking,True,3,
,,,,,,,,,,__export__.sgavar_file_var_585_3401c89c,Numérico,ALMREF,, ,23,22,0,2,2,sga_ulma_integration.model_stock_picking,True,4,1
,,,,,,,,,,__export__.sgavar_file_var_586_2607cc8c,Related-Alfanumérico,TERREF,stock.field_stock_picking_partner_id, ,39,24,0,16,16,sga_ulma_integration.model_stock_picking,True,5,ref
,,,,,,,,,,__export__.sgavar_file_var_587_e15dc7d5,Alfanumerico,TERPROREF,, ,55,40,0,16,16,sga_ulma_integration.model_stock_picking,False,6,
,,,,,,,,,,__export__.sgavar_file_var_588_ff8a5931,Alfanumerico,EXPORDTIP,sga_adaia_integration.field_stock_picking_adaia_code, ,59,56,0,4,4,sga_ulma_integration.model_stock_picking,False,7,
,,,,,,,,,,__export__.sgavar_file_var_589_366975ce,Related-Alfanumérico,EXPORDSUBTIP,shipping_type.field_stock_picking_delivery_route_path_id, ,63,60,0,4,4,sga_ulma_integration.model_stock_picking,False,8,name
,,,,,,,,,,__export__.sgavar_file_var_590_644685a7,Alfanumerico,TRAREF,, ,79,64,0,16,16,sga_ulma_integration.model_stock_picking,False,9,
,,,,,,,,,,__export__.sgavar_file_var_591_453df48e,Fecha,FECORD,__export__.ir_model_fields_8590_7acc3e09, ,87,80,0,8,8,sga_ulma_integration.model_stock_picking,False,10,
,,,,,,,,,,__export__.sgavar_file_var_592_549747f4,Alfanumerico,FECEXP,, ,95,88,0,8,8,sga_ulma_integration.model_stock_picking,False,11,
,,,,,,,,,,__export__.sgavar_file_var_593_ba4b0231,Alfanumerico,HOREXP,, ,99,96,0,4,4,sga_ulma_integration.model_stock_picking,False,12,
,,,,,,,,,,__export__.sgavar_file_var_594_bc144cde,Alfanumerico,URGENT,, ,100,100,0,1,1,sga_ulma_integration.model_stock_picking,True,13,N
,,,,,,,,,,__export__.sgavar_file_var_595_fc2c7947,Alfanumerico,OBS,, ,140,101,0,40,40,sga_ulma_integration.model_stock_picking,False,14,
,,,,,,,,,,__export__.sgavar_file_var_596_9f8f7582,Alfanumerico,MUEEXP,sga_adaia_integration.field_stock_picking_adaia_dock, ,146,141,0,6,6,sga_ulma_integration.model_stock_picking,False,15,
,,,,,,,,,,__export__.sgavar_file_var_597_0210bcff,Alfanumerico,PRVCAMCOM,, ,306,147,0,160,160,sga_ulma_integration.model_stock_picking,False,16,
,,,,,,,,,,__export__.sgavar_file_var_598_8944155d,Alfanumerico,AGROEXGENACC,sga_adaia_integration.field_stock_picking_adaia_group, ,322,307,0,16,16,sga_ulma_integration.model_stock_picking,False,17,
,,,,,,,,,,__export__.sgavar_file_var_599_32ca0681,Numérico,NUMVER,, ,326,323,0,4,4,sga_ulma_integration.model_stock_picking,False,18,0
,,,,,,,,,,__export__.sgavar_file_var_581_49804130,one2many,MOVE_LINES,sga_adaia_integration.field_stock_picking_adaia_move_ids, ,0,0,0,0,0,sga_ulma_integration.model_stock_picking,True,19,OLO
,,,,,,,,,,__export__.sgavar_file_var_602_369662cd,Alfanumerico,ACCION,, ,6,5,0,2,2,sga_ulma_integration.model_stock_picking,True,1,MO
,,,,,,,,,,__export__.sgavar_file_var_603_7e1ff00d,Alfanumerico,EXPORDREF,, ,21,7,0,15,15,sga_ulma_integration.model_stock_picking,True,2,
,,,,,,,,,,__export__.sgavar_file_var_604_565bdd97,Alfanumerico,ALMREF,, ,23,22,0,2,2,sga_ulma_integration.model_stock_picking,True,3,1
,,,,,,,,,,__export__.sgavar_file_var_605_00359abb,Related-Alfanumérico,TERREF,stock.field_stock_picking_partner_id, ,39,24,0,16,16,sga_ulma_integration.model_stock_picking,True,4,ref
,,,,,,,,,,__export__.sgavar_file_var_606_cf1f2606,Alfanumerico,TERPROREF,, ,55,40,0,16,16,sga_ulma_integration.model_stock_picking,False,5,
,,,,,,,,,,__export__.sgavar_file_var_607_2ef0be44,Alfanumerico,EXPORDTIP,, ,59,56,0,4,4,sga_ulma_integration.model_stock_picking,False,6,
,,,,,,,,,,__export__.sgavar_file_var_608_48926fd0,Alfanumerico,EXPORDSUBTIP,, ,63,60,0,4,4,sga_ulma_integration.model_stock_picking,False,7,
,,,,,,,,,,__export__.sgavar_file_var_609_6d8480f9,Alfanumerico,ALBARA,, ,75,64,0,12,12,sga_ulma_integration.model_stock_picking,False,8,
,,,,,,,,,,__export__.sgavar_file_var_611_a4cf6690,Fecha,FECEXP,stock.field_stock_picking_scheduled_date, ,83,76,0,8,8,sga_ulma_integration.model_stock_picking,False,9,
,,,,,,,,,,__export__.sgavar_file_var_612_a069dd96,Hora,HOREXP,stock.field_stock_picking_scheduled_date, ,87,84,0,4,4,sga_ulma_integration.model_stock_picking,False,10,
,,,,,,,,,,__export__.sgavar_file_var_614_14fb10b7,Alfanumerico,OBS,stock.field_stock_picking_note, ,127,88,0,40,40,sga_ulma_integration.model_stock_picking,False,11,
,,,,,,,,,,__export__.sgavar_file_var_615_c4ca287f,Alfanumerico,PRVCAMCOM,, ,286,128,0,160,160,sga_ulma_integration.model_stock_picking,True,12,
,,,,,,,,,,__export__.sgavar_file_var_1084_c7d1e57d,Alfanumerico,AGROEXGENACC,,,301,287,0,166,16,sga_ulma_integration.model_stock_picking,False,13,
,,,,,,,,,,__export__.sgavar_file_var_601_12c468d6,one2many,MOVE_LINE,stock.field_stock_picking_move_line_ids,,0,0,0,0,0,sga_ulma_integration.model_stock_picking,True,14,CEL
,,,,,,,,,,__export__.sgavar_file_var_1112_74f4b9fe,one2many,CONTENT_LINES,stock.field_stock_picking_move_line_ids, ,0,0,0,0,0,sga_ulma_integration.model_stock_picking,True,15,CEN
,,,,,,,,,,__export__.sgavar_file_var_617_52f6f4f2,Alfanumerico,ACCION,, ,6,5,0,2,2,sga_ulma_integration.model_stock_move_line,True,1,AG
,,,,,,,,,,__export__.sgavar_file_var_618_5137a78d,Alfanumerico,RECORDREF,stock.field_stock_move_line_reference, ,22,7,0,16,16,sga_ulma_integration.model_stock_move_line,True,2,
,,,,,,,,,,__export__.sgavar_file_var_619_1a49ce0f,Alfanumerico,ARTREF,, ,38,23,0,16,16,sga_ulma_integration.model_stock_move_line,True,3,
,,,,,,,,,,__export__.sgavar_file_var_620_04c1127f,Numérico,CANPED,stock.field_stock_move_line_ordered_qty, ,47,39,0,9,9,sga_ulma_integration.model_stock_move_line,True,4,
,,,,,,,,,,__export__.sgavar_file_var_621_9d874f9f,Alfanumerico,TIPUNI,, ,51,48,0,4,4,sga_ulma_integration.model_stock_move_line,True,5,UD
,,,,,,,,,,__export__.sgavar_file_var_622_d67291e6,Related-Numérico,NUMUNI,stock.field_stock_move_line_product_uom_id, ,59,52,0,8,8,sga_ulma_integration.model_stock_move_line,True,6,factor
,,,,,,,,,,__export__.sgavar_file_var_623_e6f077dc,Related-Numérico,PESPED,stock.field_stock_move_line_product_id, ,68,60,3,3,6,sga_ulma_integration.model_stock_move_line,False,7,weight
,,,,,,,,,,__export__.sgavar_file_var_624_b68a6d18,Related-Numérico,PRECOM,stock.field_stock_move_line_product_id, ,77,69,2,7,9,sga_ulma_integration.model_stock_move_line,False,8,standard_price
,,,,,,,,,,__export__.sgavar_file_var_625_d46cb9f5,Alfanumerico,ADMCANMAY,, ,78,78,0,1,1,sga_ulma_integration.model_stock_move_line,False,9,N
,,,,,,,,,,__export__.sgavar_file_var_626_a22df7a7,Alfanumerico,ADMCANMEN,, ,79,79,0,1,1,sga_ulma_integration.model_stock_move_line,False,10,N
,,,,,,,,,,__export__.sgavar_file_var_627_83640e01,Alfanumerico,IGNCAD,, ,80,80,0,1,1,sga_ulma_integration.model_stock_move_line,False,11,N
,,,,,,,,,,__export__.sgavar_file_var_628_7cc2ebe9,Alfanumerico,CTRCAL,, ,81,81,0,1,1,sga_ulma_integration.model_stock_move_line,False,12,N
,,,,,,,,,,__export__.sgavar_file_var_629_41d074c8,Numérico,RECORDLIN,stock.field_stock_move_line_id, ,90,82,0,9,9,sga_ulma_integration.model_stock_move_line,False,13,
,,,,,,,,,,__export__.sgavar_file_var_630_cbefac6b,Numérico,ADMCANMAYPOR,, ,93,91,0,3,3,sga_ulma_integration.model_stock_move_line,False,14,
,,,,,,,,,,__export__.sgavar_file_var_631_d9d6ebf7,Alfanumerico,LOTE,stock.field_stock_move_line_lot_name, ,103,94,0,20,20,sga_ulma_integration.model_stock_move_line,False,15,
,,,,,,,,,,__export__.sgavar_file_var_633_a326107c,Alfanumerico,ACCION,, ,6,5,0,2,2,sga_ulma_integration.model_stock_move_line,True,1,AG
,,,,,,,,,,__export__.sgavar_file_var_634_51501013,Alfanumerico,RECORDREF,stock.field_stock_move_line_reference, ,22,7,0,16,16,sga_ulma_integration.model_stock_move_line,True,2,
,,,,,,,,,,__export__.sgavar_file_var_635_9b906b1b,Alfanumerico,ARTREF,, ,38,23,0,16,16,sga_ulma_integration.model_stock_move_line,True,3,
,,,,,,,,,,__export__.sgavar_file_var_636_a5777eaa,Related-Numérico,CANREC,stock.field_stock_move_line_product_uom_id, ,47,39,0,9,9,sga_ulma_integration.model_stock_move_line,True,4,factor
,,,,,,,,,,__export__.sgavar_file_var_637_95c5cde5,Alfanumerico,TIPUNI,, ,51,48,0,4,4,sga_ulma_integration.model_stock_move_line,True,5,UD
,,,,,,,,,,__export__.sgavar_file_var_638_0a6d3159,Related-Numérico,PESREC,product.field_product_product_weight, ,60,52,3,6,9,sga_ulma_integration.model_stock_move_line,False,6,weight
,,,,,,,,,,__export__.sgavar_file_var_639_736fb1ca,Related-Numérico,PRECOM,product.field_product_product_weight, ,69,61,2,7,9,sga_ulma_integration.model_stock_move_line,False,7,standard_price
,,,,,,,,,,__export__.sgavar_file_var_640_46a913dc,Numérico,PESPRO,, ,78,70,3,6,9,sga_ulma_integration.model_stock_move_line,False,8,
,,,,,,,,,,__export__.sgavar_file_var_641_c4f622bb,Numérico,RECORDLIN,stock.field_stock_move_line_id, ,77,79,0,9,9,sga_ulma_integration.model_stock_move_line,False,9,
,,,,,,,,,,__export__.sgavar_file_var_642_c76b41a1,Alfanumerico,LOTE,stock.field_stock_move_line_lot_name, ,107,88,0,20,20,sga_ulma_integration.model_stock_move_line,False,10,
,,,,,,,,,,__export__.sgavar_file_var_643_8cb04739,Alfanumerico,INCIDENCIA,, ,167,108,0,60,60,sga_ulma_integration.model_stock_move_line,False,11,
,,,,,,,,,,__export__.sgavar_file_var_645_ad28f32a,Alfanumerico,ACCION,, ,6,5,0,2,2,sga_ulma_integration.model_stock_move_line,True,1,AG
,,,,,,,,,,__export__.sgavar_file_var_646_dba4da85,Alfanumerico,EXPORDREF,stock.field_stock_move_line_reference, ,21,7,0,15,15,sga_ulma_integration.model_stock_move_line,True,2,
,,,,,,,,,,__export__.sgavar_file_var_647_70eb599c,Numérico,EXPORDLIN,stock.field_stock_move_line_id, ,30,22,0,9,9,sga_ulma_integration.model_stock_move_line,False,3,
,,,,,,,,,,__export__.sgavar_file_var_648_42d9bffb,Alfanumerico,ARTREF,, ,46,31,0,16,16,sga_ulma_integration.model_stock_move_line,True,4,
,,,,,,,,,,__export__.sgavar_file_var_649_a4eddd3a,Numérico,CANPED,stock.field_stock_move_line_ordered_qty, ,55,47,0,9,9,sga_ulma_integration.model_stock_move_line,True,5,
,,,,,,,,,,__export__.sgavar_file_var_650_7502333e,Alfanumerico,TIPUNI,, ,59,56,0,4,4,sga_ulma_integration.model_stock_move_line,True,6,UD
,,,,,,,,,,__export__.sgavar_file_var_703_9e5070ac,Related-Numérico,NUMUNI,stock.field_stock_move_line_product_uom_id, ,67,60,0,8,8,sga_ulma_integration.model_stock_move_line,True,7,factor
,,,,,,,,,,__export__.sgavar_file_var_704_b2b62cc7,Related-Numérico,PESPED,stock.field_stock_move_line_product_id, ,76,68,3,6,9,sga_ulma_integration.model_stock_move_line,False,8,weight
,,,,,,,,,,__export__.sgavar_file_var_705_7e7cbef5,Related-Numérico,PREVEN,stock.field_stock_move_line_product_id, ,85,77,2,7,9,sga_ulma_integration.model_stock_move_line,False,9,standard_price
,,,,,,,,,,__export__.sgavar_file_var_706_e42df8d8,Related-Alfanumérico,OBS,stock.field_stock_move_line_picking_id, ,125,86,0,40,40,sga_ulma_integration.model_stock_move_line,False,10,note
,,,,,,,,,,__export__.sgavar_file_var_707_b489faca,Alfanumerico,LOTE,stock.field_stock_move_line_lot_name, ,145,126,0,20,20,sga_ulma_integration.model_stock_move_line,False,11,
,,,,,,,,,,__export__.sgavar_file_var_708_e4c3a715,Alfanumerico,KIT,, ,146,146,0,1,1,sga_ulma_integration.model_stock_move_line,False,12,N
,,,,,,,,,,__export__.sgavar_file_var_709_0cc5e64c,Numérico,VIDAUTILMIN,, ,149,147,0,3,3,sga_ulma_integration.model_stock_move_line,False,13,
,,,,,,,,,,__export__.sgavar_file_var_710_92cb24a3,Numérico,VIDAUTILMAX,, ,152,150,0,3,3,sga_ulma_integration.model_stock_move_line,False,14,
,,,,,,,,,,__export__.sgavar_file_var_712_919e1d13,Alfanumerico,ACCION,, ,6,5,0,2,2,sga_ulma_integration.model_stock_move,True,1,AG
,,,,,,,,,,__export__.sgavar_file_var_713_11dcc9eb,Alfanumerico,EXPORDREF,stock.field_stock_move_line_reference, ,21,7,0,15,15,sga_ulma_integration.model_stock_move,True,2,
,,,,,,,,,,__export__.sgavar_file_var_714_8bc77521,Numérico,EXPORDLIN,stock.field_stock_move_line_id, ,30,22,0,9,9,sga_ulma_integration.model_stock_move,True,3,
,,,,,,,,,,__export__.sgavar_file_var_715_51f32d0e,Related-Numérico,ARTREF,stock.field_stock_move_line_product_id, ,46,31,0,16,16,sga_ulma_integration.model_stock_move,True,4,reference
,,,,,,,,,,__export__.sgavar_file_var_716_0d746ab9,Alfanumerico,CANPED,stock.field_stock_move_product_uom_qty, ,55,47,0,9,9,sga_ulma_integration.model_stock_move,True,5,
,,,,,,,,,,__export__.sgavar_file_var_717_f0fc833a,Alfanumerico,CANSER,stock.field_stock_move_line_product_qty, ,64,56,0,9,9,sga_ulma_integration.model_stock_move,True,6,
,,,,,,,,,,__export__.sgavar_file_var_718_46e8b5c6,Alfanumerico,TIPUNI,, ,68,65,0,4,4,sga_ulma_integration.model_stock_move,True,7,UD
,,,,,,,,,,__export__.sgavar_file_var_719_19d08f42,Related-Numérico,PESSER,product.field_product_product_weight, ,77,69,3,6,9,sga_ulma_integration.model_stock_move,False,8,weight
,,,,,,,,,,__export__.sgavar_file_var_720_8b876ebf,Related-Numérico,PREVEN,product.field_product_product_weight, ,86,78,2,7,9,sga_ulma_integration.model_stock_move,False,9,standard_price
,,,,,,,,,,__export__.sgavar_file_var_1085_56ecbaa5,Alfanumerico,OBS,, ,126,87,0,40,40,sga_ulma_integration.model_stock_move,False,10,
,,,,,,,,,,__export__.sgavar_file_var_1086_861169e4,Related-Alfanumérico,LOTE,stock.field_stock_move_line_lot_id, ,146,127,0,20,20,sga_ulma_integration.model_stock_move,False,11,ID
,,,,,,,,,,__export__.sgavar_file_var_723_3ad5ee2d,Alfanumerico,ACCION,, ,6,5,0,2,2,stock_move_selection_wzd.model_res_partner,True,1,MO
,,,,,,,,,,__export__.sgavar_file_var_724_0b2b441d,Alfanumerico,TERREF,sga_adaia_integration.field_res_partner_sga_ref, ,22,7,0,16,16,stock_move_selection_wzd.model_res_partner,True,2,
,,,,,,,,,,__export__.sgavar_file_var_725_424130f0,Alfanumerico,TERDES,base.field_res_partner_name, ,62,23,0,40,40,stock_move_selection_wzd.model_res_partner,True,3,
,,,,,,,,,,__export__.sgavar_file_var_726_e291b293,Alfanumerico,TERPRIREF,, ,78,63,0,16,16,stock_move_selection_wzd.model_res_partner,False,4,
,,,,,,,,,,__export__.sgavar_file_var_733_93d9c7a4,Alfanumerico,ALIAS,base.field_res_partner_display_name, ,90,79,0,12,12,stock_move_selection_wzd.model_res_partner,True,5,
,,,,,,,,,,__export__.sgavar_file_var_756_6361a08c,Alfanumerico,TERORI,sga_adaia_integration.field_res_partner_partner_type, ,94,91,0,4,4,stock_move_selection_wzd.model_res_partner,True,6,
,,,,,,,,,,__export__.sgavar_file_var_757_9efbd841,Alfanumerico,DIR1,base.field_res_partner_street, ,134,95,0,40,40,stock_move_selection_wzd.model_res_partner,False,7,
,,,,,,,,,,__export__.sgavar_file_var_758_6255f798,Alfanumerico,DIR2,base.field_res_partner_city, ,174,135,0,40,40,stock_move_selection_wzd.model_res_partner,False,8,
,,,,,,,,,,__export__.sgavar_file_var_759_de8d4eec,Related-Alfanumérico,DIR3,base.field_res_partner_state_id, ,214,175,0,40,40,stock_move_selection_wzd.model_res_partner,False,9,name
,,,,,,,,,,__export__.sgavar_file_var_760_ef761a22,Related-Alfanumérico,DIR4,base.field_res_partner_country_id, ,254,215,0,40,40,stock_move_selection_wzd.model_res_partner,False,10,name
,,,,,,,,,,__export__.sgavar_file_var_761_806aa93c,Numérico,POSCOD,base.field_res_partner_zip, ,260,255,0,6,6,stock_move_selection_wzd.model_res_partner,False,11,
,,,,,,,,,,__export__.sgavar_file_var_762_35543c0e,Related-Alfanumérico,PAISCOD,base.field_res_partner_country_id, ,264,261,0,4,4,stock_move_selection_wzd.model_res_partner,False,12,code
,,,,,,,,,,__export__.sgavar_file_var_763_b32066fc,Alfanumerico,PERAJU,, ,265,265,0,1,1,stock_move_selection_wzd.model_res_partner,False,13,N
,,,,,,,,,,__export__.sgavar_file_var_764_865f58dc,Alfanumerico,CNTEXPTIP,, ,269,266,0,4,4,stock_move_selection_wzd.model_res_partner,False,14,PL
,,,,,,,,,,__export__.sgavar_file_var_777_b3a0dcc1,Alfanumerico,NUMTELSMS,base.field_res_partner_mobile, ,349,270,0,80,80,stock_move_selection_wzd.model_res_partner,False,15,
,,,,,,,,,,__export__.sgavar_file_var_778_a21ba7eb,Alfanumerico,NUMTELFAX,partner_fax.field_res_partner_fax, ,429,350,0,80,80,stock_move_selection_wzd.model_res_partner,False,16,
