"id","version_active","file_bytes","cte_name","model","file_filter","odoo_model/id","sga_file_var_ids/adaia_type","sga_file_var_ids/name","sga_file_var_ids/odoo_name/id","sga_file_var_ids/fillchar","sga_file_var_ids/en","sga_file_var_ids/st","sga_file_var_ids/length_dec","sga_file_var_ids/length_int","sga_file_var_ids/length","sga_file_var_ids/odoo_model/id","sga_file_var_ids/required","sga_file_var_ids/sequence","sga_file_var_ids/default","description","code","version"
"__export__.sgavar_file_1_548dfa6f","False","300","Order de recepción","Operación de empaquetado","","sga_ulma_integration.model_stock_picking","Alfanumerico","TIPEREG",""," ","4","1","0","4","4","sga_ulma_integration.model_stock_picking","True","0","ORCA","","INR","0"
"","","","","","","","Alfanumerico","ACCION",""," ","6","5","0","2","2","sga_ulma_integration.model_stock_picking","True","1","MO","","",""
"","","","","","","","Alfanumerico","RECORDREF","sga_adaia_integration.field_stock_picking_sga_adaia_picking_name"," ","22","7","0","16","16","sga_ulma_integration.model_stock_picking","True","2","","","",""
"","","","","","","","Numérico","ALMREF",""," ","24","23","0","2","2","sga_ulma_integration.model_stock_picking","True","3","01","","",""
"","","","","","","","Alfanumerico","TERREF","sga_adaia_integration.field_stock_picking_sga_adaia_partner_ref"," ","40","25","0","16","16","sga_ulma_integration.model_stock_picking","True","4","","","",""
"","","","","","","","Alfanumerico","TERPROREF",""," ","56","41","0","16","16","sga_ulma_integration.model_stock_picking","False","5","","","",""
"","","","","","","","Alfanumerico","RECORDTIP",""," ","60","57","0","4","4","sga_ulma_integration.model_stock_picking","True","6","ENPR","","",""
"","","","","","","","Fecha","FECORD","__export__.ir_model_fields_8590_7acc3e09"," ","8","61","0","8","8","sga_ulma_integration.model_stock_picking","True","7","","","",""
"","","","","","","","Hora","FECREC","stock.field_stock_picking_date_done"," ","76","69","0","8","8","sga_ulma_integration.model_stock_picking","False","8","","","",""
"","","","","","","","Alfanumerico","HORREC",""," ","80","77","0","4","4","sga_ulma_integration.model_stock_picking","False","9","","","",""
"","","","","","","","Alfanumerico","OBS",""," ","120","81","0","40","40","sga_ulma_integration.model_stock_picking","False","10","","","",""
"","","","","","","","Alfanumerico","TERRESREF",""," ","136","121","0","16","16","sga_ulma_integration.model_stock_picking","False","11","","","",""
"","","","","","","","Alfanumerico","RECORDSUBTIP",""," ","140","137","0","4","4","sga_ulma_integration.model_stock_picking","False","12","","","",""
"","","","","","","","Alfanumerico","PRVCAMCOM",""," ","260","141","0","160","160","sga_ulma_integration.model_stock_picking","False","13","","","",""
"","","","","","","","one2many","MOVE_LINES","sga_adaia_integration.field_stock_picking_adaia_move_ids"," ","0","0","0","0","0","sga_ulma_integration.model_stock_picking","True","14","MVL","","",""
"__export__.sgavar_file_2_5484226f","False","139","Confirmación de recepción","Operación de empaquetado","","sga_ulma_integration.model_stock_picking","Alfanumerico","TIPREG",""," ","4","1","0","4","4","sga_ulma_integration.model_stock_picking","True","0","CRCA","","INR","1"
"","","","","","","","Alfanumerico","ACCION",""," ","6","5","0","2","2","sga_ulma_integration.model_stock_picking","True","1","AG","","",""
"","","","","","","","Numérico","RECCOD","sga_adaia_integration.field_stock_picking_sga_adaia_picking_name"," ","15","7","0","9","9","sga_ulma_integration.model_stock_picking","True","2","","","",""
"","","","","","","","Numérico","ALMREF",""," ","17","16","0","2","2","sga_ulma_integration.model_stock_picking","True","3","1","","",""
"","","","","","","","Alfanumerico","RECORDREF","sga_adaia_integration.field_stock_picking_sga_adaia_picking_name"," ","33","18","0","16","16","sga_ulma_integration.model_stock_picking","True","4","","","",""
"","","","","","","","Related-Alfanumérico","TERREF","stock.field_stock_picking_partner_id"," ","49","34","0","16","16","sga_ulma_integration.model_stock_picking","True","5","ref","","",""
"","","","","","","","Alfanumerico","TERPROREF",""," ","65","50","0","16","16","sga_ulma_integration.model_stock_picking","False","6","","","",""
"","","","","","","","Alfanumerico","RECORDTIP",""," ","69","66","0","4","4","sga_ulma_integration.model_stock_picking","True","7","ENPR","","",""
"","","","","","","","Alfanumerico","ALBARA","stock.field_stock_picking_name"," ","86","70","0","17","17","sga_ulma_integration.model_stock_picking","True","8","","","",""
"","","","","","","","Fecha","FECREC","stock.field_stock_picking_date_done"," ","94","87","0","8","8","sga_ulma_integration.model_stock_picking","True","9","","","",""
"","","","","","","","Hora","HORREC","stock.field_stock_picking_date_done"," ","98","95","0","5","5","sga_ulma_integration.model_stock_picking","True","10","","","",""
"","","","","","","","Alfanumerico","OBS","stock.field_stock_picking_note"," ","139","99","0","40","40","sga_ulma_integration.model_stock_picking","False","11","","","",""
"","","","","","","","one2many","MOVE_LINES","sga_adaia_integration.field_stock_picking_adaia_move_ids","","0","0","0","0","0","sga_ulma_integration.model_stock_picking","True","12","MIN","","",""
"__export__.sgavar_file_3_f45afa6f","False","326","Orden de expedición","Operación de empaquetado","","sga_ulma_integration.model_stock_picking","Alfanumerico","TIPREG",""," ","4","1","0","4","4","sga_ulma_integration.model_stock_picking","True","1","OECA","","OUT","0"
"","","","","","","","Alfanumerico","ACCION",""," ","6","5","0","2","2","sga_ulma_integration.model_stock_picking","True","2","MO","","",""
"","","","","","","","Alfanumerico","EXPORDREF","sga_adaia_integration.field_stock_picking_sga_adaia_picking_name"," ","21","7","0","15","15","sga_ulma_integration.model_stock_picking","True","3","","","",""
"","","","","","","","Numérico","ALMREF",""," ","23","22","0","2","2","sga_ulma_integration.model_stock_picking","True","4","01","","",""
"","","","","","","","Related-Alfanumérico","TERREF","stock.field_stock_picking_partner_id"," ","39","24","0","16","16","sga_ulma_integration.model_stock_picking","True","5","ref","","",""
"","","","","","","","Alfanumerico","TERPROREF",""," ","55","40","0","16","16","sga_ulma_integration.model_stock_picking","False","6","","","",""
"","","","","","","","Alfanumerico","EXPORDTIP","sga_adaia_integration.field_stock_picking_adaia_code"," ","59","56","0","4","4","sga_ulma_integration.model_stock_picking","False","7","","","",""
"","","","","","","","Related-Alfanumérico","EXPORDSUBTIP","shipping_type.field_stock_picking_delivery_route_path_id"," ","63","60","0","4","4","sga_ulma_integration.model_stock_picking","False","8","name","","",""
"","","","","","","","Alfanumerico","TRAREF",""," ","79","64","0","16","16","sga_ulma_integration.model_stock_picking","False","9","","","",""
"","","","","","","","Fecha","FECORD","__export__.ir_model_fields_8590_7acc3e09"," ","87","80","0","8","8","sga_ulma_integration.model_stock_picking","False","10","","","",""
"","","","","","","","Alfanumerico","FECEXP",""," ","95","88","0","8","8","sga_ulma_integration.model_stock_picking","False","11","","","",""
"","","","","","","","Alfanumerico","HOREXP",""," ","99","96","0","4","4","sga_ulma_integration.model_stock_picking","False","12","","","",""
"","","","","","","","Alfanumerico","URGENT",""," ","100","100","0","1","1","sga_ulma_integration.model_stock_picking","True","13","N","","",""
"","","","","","","","Alfanumerico","OBS",""," ","140","101","0","40","40","sga_ulma_integration.model_stock_picking","False","14","","","",""
"","","","","","","","Alfanumerico","MUEEXP","sga_adaia_integration.field_stock_picking_adaia_dock"," ","146","141","0","6","6","sga_ulma_integration.model_stock_picking","False","15","","","",""
"","","","","","","","Alfanumerico","PRVCAMCOM",""," ","306","147","0","160","160","sga_ulma_integration.model_stock_picking","False","16","","","",""
"","","","","","","","Alfanumerico","AGROEXGENACC","sga_adaia_integration.field_stock_picking_adaia_group"," ","322","307","0","16","16","sga_ulma_integration.model_stock_picking","False","17","","","",""
"","","","","","","","Numérico","NUMVER",""," ","326","323","0","4","4","sga_ulma_integration.model_stock_picking","False","18","0","","",""
"","","","","","","","one2many","MOVE_LINES","sga_adaia_integration.field_stock_picking_adaia_move_ids"," ","0","0","0","0","0","sga_ulma_integration.model_stock_picking","True","19","MLO","","",""
"__export__.sgavar_file_4_48d6546f","False","303","Confirmación de expedición","Operación de empaquetado","","sga_ulma_integration.model_stock_picking","Alfanumerico","TIPREF",""," ","4","1","0","4","4","sga_ulma_integration.model_stock_picking","True","0","CECA","","OUT","1"
"","","","","","","","Alfanumerico","ACCION",""," ","6","5","0","2","2","sga_ulma_integration.model_stock_picking","True","1","MO","","",""
"","","","","","","","Alfanumerico","EXPORDREF",""," ","21","7","0","15","15","sga_ulma_integration.model_stock_picking","True","2","","","",""
"","","","","","","","Alfanumerico","ALMREF",""," ","23","22","0","2","2","sga_ulma_integration.model_stock_picking","True","3","01","","",""
"","","","","","","","Related-Alfanumérico","TERREF","stock.field_stock_picking_partner_id"," ","39","24","0","16","16","sga_ulma_integration.model_stock_picking","True","4","ref","","",""
"","","","","","","","Alfanumerico","TERPROREF",""," ","55","40","0","16","16","sga_ulma_integration.model_stock_picking","False","5","","","",""
"","","","","","","","Alfanumerico","EXPORDTIP",""," ","59","56","0","4","4","sga_ulma_integration.model_stock_picking","False","6","","","",""
"","","","","","","","Alfanumerico","EXPORDSUBTIP",""," ","63","60","0","4","4","sga_ulma_integration.model_stock_picking","False","7","","","",""
"","","","","","","","Alfanumerico","ALBARA",""," ","75","64","0","12","12","sga_ulma_integration.model_stock_picking","False","8","","","",""
"","","","","","","","Fecha","FECEXP","stock.field_stock_picking_scheduled_date"," ","83","76","0","8","8","sga_ulma_integration.model_stock_picking","False","9","","","",""
"","","","","","","","Hora","HOREXP","stock.field_stock_picking_scheduled_date"," ","87","84","0","4","4","sga_ulma_integration.model_stock_picking","False","10","","","",""
"","","","","","","","Alfanumerico","OBS","stock.field_stock_picking_note"," ","127","88","0","40","40","sga_ulma_integration.model_stock_picking","False","11","","","",""
"","","","","","","","Alfanumerico","PRVCAMCOM",""," ","286","128","0","160","160","sga_ulma_integration.model_stock_picking","True","12","","","",""
"","","","","","","","Alfanumerico","AGROEXGENACC","","","301","287","0","166","16","sga_ulma_integration.model_stock_picking","False","13","","","",""
"","","","","","","","one2many","MOVE_LINE","stock.field_stock_picking_move_line_ids","","0","0","0","0","0","sga_ulma_integration.model_stock_picking","True","14","CEL","","",""
"","","","","","","","one2many","CONTENT_LINES","stock.field_stock_picking_move_line_ids"," ","0","0","0","0","0","sga_ulma_integration.model_stock_picking","True","15","CEN","","",""
"__export__.sgavar_file_8_00a1f0af","False","146","Confirmación de expedición, líneas","Operación de empaquetado","","sga_ulma_integration.model_stock_move_line","Alfanumerico","TIPREG",""," ","4","1","0","4","4","sga_ulma_integration.model_stock_move_line","True","0","CELI","","CEL","0"
"","","","","","","","Alfanumerico","ACCION",""," ","6","5","0","2","2","sga_ulma_integration.model_stock_move_line","True","1","AG","","",""
"","","","","","","","Alfanumerico","EXPORDREF","stock.field_stock_move_line_reference"," ","21","7","0","15","15","sga_ulma_integration.model_stock_move_line","True","2","","","",""
"","","","","","","","Numérico","EXPORDLIN","stock.field_stock_move_line_id"," ","30","22","0","9","9","sga_ulma_integration.model_stock_move_line","True","3","","","",""
"","","","","","","","Related-Numérico","ARTREF","stock.field_stock_move_line_product_id"," ","46","31","0","16","16","sga_ulma_integration.model_stock_move_line","True","4","reference","","",""
"","","","","","","","Alfanumerico","CANPED","stock.field_stock_move_line_ordered_qty"," ","55","47","0","9","9","sga_ulma_integration.model_stock_move_line","True","5","","","",""
"","","","","","","","Alfanumerico","CANSER","stock.field_stock_move_line_product_qty"," ","64","56","0","9","9","sga_ulma_integration.model_stock_move_line","True","6","","","",""
"","","","","","","","Alfanumerico","TIPUNI",""," ","68","65","0","4","4","sga_ulma_integration.model_stock_move_line","True","7","UD","","",""
"","","","","","","","Related-Numérico","PESSER","product.field_product_product_weight"," ","77","69","3","6","9","sga_ulma_integration.model_stock_move_line","False","8","weight","","",""
"","","","","","","","Related-Numérico","PREVEN","product.field_product_product_weight"," ","86","78","2","7","9","sga_ulma_integration.model_stock_move_line","False","9","standard_price","","",""
"","","","","","","","Alfanumerico","OBS",""," ","126","87","0","40","40","sga_ulma_integration.model_stock_move_line","False","10","","","",""
"","","","","","","","Related-Alfanumérico","LOTE","stock.field_stock_move_line_lot_id"," ","146","127","0","20","20","sga_ulma_integration.model_stock_move_line","False","11","ID","","",""
"__export__.sgavar_file_9_1s52a8w9","False","521","Creación de clientes","Contacto","","stock_move_selection_wzd.model_res_partner","Alfanumerico","TIPREG",""," ","4","1","0","4","4","stock_move_selection_wzd.model_res_partner","True","0","TE ","","TE0","0"
"","","","","","","","Alfanumerico","ACCION",""," ","6","5","0","2","2","stock_move_selection_wzd.model_res_partner","True","1","MO","","",""
"","","","","","","","Alfanumerico","TERREF","sga_adaia_integration.field_res_partner_sga_ref"," ","22","7","0","16","16","stock_move_selection_wzd.model_res_partner","True","2","","","",""
"","","","","","","","Alfanumerico","TERDES","base.field_res_partner_name"," ","62","23","0","40","40","stock_move_selection_wzd.model_res_partner","True","3","","","",""
"","","","","","","","Alfanumerico","TERPRIREF",""," ","78","63","0","16","16","stock_move_selection_wzd.model_res_partner","False","4","","","",""
"","","","","","","","Alfanumerico","ALIAS","base.field_res_partner_display_name"," ","90","79","0","12","12","stock_move_selection_wzd.model_res_partner","True","5","","","",""
"","","","","","","","Alfanumerico","TERORI","sga_adaia_integration.field_res_partner_partner_type"," ","94","91","0","4","4","stock_move_selection_wzd.model_res_partner","True","6","","","",""
"","","","","","","","Alfanumerico","DIR1","base.field_res_partner_street"," ","134","95","0","40","40","stock_move_selection_wzd.model_res_partner","False","7","","","",""
"","","","","","","","Alfanumerico","DIR2","base.field_res_partner_city"," ","174","135","0","40","40","stock_move_selection_wzd.model_res_partner","False","8","","","",""
"","","","","","","","Related-Alfanumérico","DIR3","base.field_res_partner_state_id"," ","214","175","0","40","40","stock_move_selection_wzd.model_res_partner","False","9","name","","",""
"","","","","","","","Related-Alfanumérico","DIR4","base.field_res_partner_country_id"," ","254","215","0","40","40","stock_move_selection_wzd.model_res_partner","False","10","name","","",""
"","","","","","","","Numérico","POSCOD","base.field_res_partner_zip"," ","260","255","0","6","6","stock_move_selection_wzd.model_res_partner","False","11","","","",""
"","","","","","","","Related-Alfanumérico","PAISCOD","base.field_res_partner_country_id"," ","264","261","0","4","4","stock_move_selection_wzd.model_res_partner","False","12","code","","",""
"","","","","","","","Alfanumerico","PERAJU",""," ","265","265","0","1","1","stock_move_selection_wzd.model_res_partner","False","13","N","","",""
"","","","","","","","Alfanumerico","CNTEXPTIP",""," ","269","266","0","4","4","stock_move_selection_wzd.model_res_partner","False","14","PL","","",""
"","","","","","","","Alfanumerico","NUMTELSMS","base.field_res_partner_mobile"," ","349","270","0","80","80","stock_move_selection_wzd.model_res_partner","False","15","","","",""
"","","","","","","","Alfanumerico","NUMTELFAX","partner_fax.field_res_partner_fax"," ","429","350","0","80","80","stock_move_selection_wzd.model_res_partner","False","16","","","",""
"","","","","","","","Alfanumerico","EMAILD","base.field_res_partner_email"," ","509","430","0","80","80","stock_move_selection_wzd.model_res_partner","False","17","","","",""
"","","","","","","","Alfanumerico","CNTEXPTIPCAJ",""," ","513","510","0","4","4","stock_move_selection_wzd.model_res_partner","False","18","","","",""
"","","","","","","","Alfanumerico","POSCODINT",""," ","521","514","0","8","8","stock_move_selection_wzd.model_res_partner","False","19","","","",""
"__export__.sgavar_file_10_1a9s7f6a","False","521","Modificación de clientes","Contacto","","stock_move_selection_wzd.model_res_partner","Alfanumerico","TIPREG",""," ","4","1","0","4","4","stock_move_selection_wzd.model_res_partner","True","0","TE ","","TE0","1"
"","","","","","","","Alfanumerico","ACCION",""," ","6","5","0","2","2","stock_move_selection_wzd.model_res_partner","True","1","MO","","",""
"","","","","","","","Alfanumerico","TERREF","base.field_res_partner_ref"," ","22","7","0","16","16","stock_move_selection_wzd.model_res_partner","True","2","","","",""
"","","","","","","","Alfanumerico","TERDES","base.field_res_partner_name"," ","62","23","0","40","40","stock_move_selection_wzd.model_res_partner","True","3","","","",""
"","","","","","","","Alfanumerico","TERPRIREF",""," ","78","63","0","16","16","stock_move_selection_wzd.model_res_partner","False","4","","","",""
"","","","","","","","Alfanumerico","ALIAS","base.field_res_partner_display_name"," ","90","79","0","12","12","stock_move_selection_wzd.model_res_partner","True","5","","","",""
"","","","","","","","Alfanumerico","TERORI","sga_adaia_integration.field_res_partner_partner_type"," ","94","91","0","4","4","stock_move_selection_wzd.model_res_partner","True","6","","","",""
"","","","","","","","Alfanumerico","DIR1","base.field_res_partner_street"," ","134","95","0","40","40","stock_move_selection_wzd.model_res_partner","False","7","","","",""
"","","","","","","","Alfanumerico","DIR2","base.field_res_partner_city"," ","174","135","0","40","40","stock_move_selection_wzd.model_res_partner","False","8","","","",""
"","","","","","","","Related-Alfanumérico","DIR3","base.field_res_partner_state_id"," ","214","175","0","40","40","stock_move_selection_wzd.model_res_partner","False","9","name","","",""
"","","","","","","","Related-Alfanumérico","DIR4","base.field_res_partner_country_id"," ","254","215","0","40","40","stock_move_selection_wzd.model_res_partner","False","10","name","","",""
"","","","","","","","Numérico","POSCOD","base.field_res_partner_zip"," ","260","255","0","6","6","stock_move_selection_wzd.model_res_partner","False","11","","","",""
"","","","","","","","Related-Alfanumérico","PAISCOD","base.field_res_partner_country_id"," ","264","261","0","4","4","stock_move_selection_wzd.model_res_partner","False","12","code","","",""
"","","","","","","","Alfanumerico","PERAJU",""," ","265","265","0","1","1","stock_move_selection_wzd.model_res_partner","False","13","N","","",""
"","","","","","","","Alfanumerico","CNTEXPTIP",""," ","269","266","0","4","4","stock_move_selection_wzd.model_res_partner","False","14","PL","","",""
"","","","","","","","Alfanumerico","NUMTELSMS","base.field_res_partner_mobile"," ","349","270","0","80","80","stock_move_selection_wzd.model_res_partner","False","15","","","",""
"","","","","","","","Alfanumerico","NUMTELFAX","partner_fax.field_res_partner_fax"," ","429","350","0","80","80","stock_move_selection_wzd.model_res_partner","False","16","","","",""
"","","","","","","","Alfanumerico","EMAILD","base.field_res_partner_email"," ","509","430","0","80","80","stock_move_selection_wzd.model_res_partner","False","17","","","",""
"","","","","","","","Alfanumerico","CNTEXPTIPCAJ",""," ","513","510","0","4","4","stock_move_selection_wzd.model_res_partner","False","18","","","",""
"","","","","","","","Alfanumerico","POSCODINT",""," ","521","514","0","8","8","stock_move_selection_wzd.model_res_partner","False","19","","","",""
"__export__.sgavar_file_11_9af1e24r","False","521","Eliminación de clientes","Contacto","","stock_move_selection_wzd.model_res_partner","Alfanumerico","TIPREG",""," ","4","1","0","4","4","stock_move_selection_wzd.model_res_partner","True","0","TE ","","TE0","2"
"","","","","","","","Alfanumerico","ACCION",""," ","6","5","0","2","2","stock_move_selection_wzd.model_res_partner","True","1","DE","","",""
"","","","","","","","Alfanumerico","TERREF","base.field_res_partner_ref"," ","22","7","0","16","16","stock_move_selection_wzd.model_res_partner","True","2","","","",""
"","","","","","","","Alfanumerico","TERDES","base.field_res_partner_name"," ","62","23","0","40","40","stock_move_selection_wzd.model_res_partner","True","3","","","",""
"","","","","","","","Alfanumerico","TERPRIREF",""," ","78","63","0","16","16","stock_move_selection_wzd.model_res_partner","False","4","","","",""
"","","","","","","","Alfanumerico","ALIAS","base.field_res_partner_display_name"," ","90","79","0","12","12","stock_move_selection_wzd.model_res_partner","True","5","","","",""
"","","","","","","","Alfanumerico","TERORI","sga_adaia_integration.field_res_partner_partner_type"," ","94","91","0","4","4","stock_move_selection_wzd.model_res_partner","True","6","","","",""
"","","","","","","","Alfanumerico","DIR1","base.field_res_partner_street"," ","134","95","0","40","40","stock_move_selection_wzd.model_res_partner","False","7","","","",""
"","","","","","","","Alfanumerico","DIR2","base.field_res_partner_city"," ","174","135","0","40","40","stock_move_selection_wzd.model_res_partner","False","8","","","",""
"","","","","","","","Related-Alfanumérico","DIR3","base.field_res_partner_state_id"," ","214","175","0","40","40","stock_move_selection_wzd.model_res_partner","False","9","name","","",""
"","","","","","","","Related-Alfanumérico","DIR4","base.field_res_partner_country_id"," ","254","215","0","40","40","stock_move_selection_wzd.model_res_partner","False","10","name","","",""
